Date,Bean_Kandy_price
1/20/2020,240.0
1/21/2020,245.0
1/22/2020,210.0
1/23/2020,190.0
1/24/2020,210.0
1/27/2020,260.0
1/28/2020,290.0
1/29/2020,290.0
1/30/2020,290.0
1/31/2020,310.0
2/1/2020,340.0
2/3/2020,155.0
2/7/2020,95.0
2/9/2020,185.0
2/10/2020,190.0
2/11/2020,95.0
2/12/2020,210.0
2/14/2020,160.0
2/17/2020,155.0
2/18/2020,155.0
2/19/2020,155.0
2/20/2020,155.0
2/24/2020,145.0
2/25/2020,125.0
2/26/2020,145.0
2/27/2020,155.0
2/28/2020,175.0
3/1/2020,340.0
3/2/2020,270.0
3/3/2020,145.0
3/7/2020,95.0
3/9/2020,195.0
3/11/2020,95.0
3/12/2020,175.0
3/13/2020,75.0
4/3/2020,125.0
4/8/2020,195.0
4/9/2020,175.0
4/11/2020,95.0
4/12/2020,175.0
5/2/2020,245.0
5/3/2020,110.0
5/10/2020,190.0
5/11/2020,115.0
6/1/2020,270.0
6/3/2020,95.0
6/7/2020,75.0
6/8/2020,
6/10/2020,190.0
6/11/2020,115.0
6/15/2020,135.0
6/16/2020,125.0
6/17/2020,115.0
6/18/2020,95.0
6/19/2020,95.0
6/22/2020,85.0
6/23/2020,75.0
6/24/2020,75.0
6/25/2020,85.0
6/26/2020,95.0
6/29/2020,95.0
6/30/2020,95.0
7/1/2020,310.0
7/7/2020,75.0
7/8/2020,255.0
7/9/2020,175.0
7/10/2020,190.0
7/12/2020,145.0
7/13/2020,110.0
7/14/2020,125.0
7/15/2020,125.0
7/16/2020,115.0
7/17/2020,115.0
7/20/2020,125.0
7/21/2020,135.0
7/22/2020,135.0
7/23/2020,135.0
7/24/2020,135.0
7/27/2020,175.0
7/28/2020,155.0
7/29/2020,155.0
7/30/2020,185.0
7/31/2020,190.0
8/1/2020,250.0
8/7/2020,85.0
8/9/2020,195.0
8/10/2020,175.0
8/12/2020,165.0
8/13/2020,255.0
8/14/2020,225.0
8/17/2020,225.0
8/18/2020,225.0
8/19/2020,190.0
8/20/2020,210.0
8/21/2020,190.0
8/24/2020,190.0
8/25/2020,190.0
8/26/2020,155.0
8/27/2020,155.0
8/28/2020,175.0
9/1/2020,245.0
9/7/2020,95.0
9/9/2020,165.0
9/10/2020,170.0
9/11/2020,125.0
9/12/2020,
9/14/2020,210.0
9/15/2020,210.0
9/16/2020,175.0
9/17/2020,175.0
9/18/2020,200.0
9/21/2020,210.0
9/22/2020,215.0
9/23/2020,205.0
9/24/2020,155.0
9/25/2020,160.0
