Date,Kandy,Dambulla
2019-09-19,125.0,125.0
2019-09-20,115.0,130.0
2019-09-23,125.0,125.0
2019-09-24,125.0,105.0
2019-09-25,115.0,50.0
2019-09-26,105.0,85.0
2019-09-27,95.0,120.0
2019-09-30,135.0,140.0
2019-10-01,145.0,110.0
2019-10-04,145.0,140.0
2019-10-05,225.0,245.0
2019-10-06,125.0,140.0
2019-10-07,75.0,100.0
2019-10-09,175.0,185.0
2019-10-10,135.0,120.0
2019-10-12,245.0,235.0
2019-10-14,135.0,100.0
2019-10-15,125.0,95.0
2019-10-16,125.0,105.0
2019-10-17,95.0,105.0
2019-10-18,85.0,90.0
2019-10-21,85.0,77.5
2019-10-22,85.0,70.0
2019-10-23,75.0,72.5
2019-10-24,75.0,65.0
2019-10-25,75.0,75.0
2019-10-28,115.0,90.0
2019-10-29,115.0,90.0
2019-10-30,125.0,95.0
2019-10-31,100.0,95.0
2019-11-01,115.0,105.0
2019-11-02,65.0,65.0
2019-11-03,55.0,50.0
2019-11-04,155.0,165.0
2019-11-06,115.0,155.0
2019-11-07,75.0,85.0
2019-11-10,135.0,130.0
2019-11-11,110.0,90.0
2019-11-13,105.0,105.0
2019-11-14,95.0,85.0
2019-11-15,75.0,60.0
2019-11-18,75.0,110.0
