Date,price
1/9/2021,160
1/10/2021,160
1/11/2021,150
1/13/2021,90
1/15/2021,150
1/18/2021,150
1/19/2021,170
1/20/2021,200
1/21/2021,160
1/22/2021,200
1/25/2021,200
1/26/2021,200
1/27/2021,250
1/29/2021,160
2/2/2021,100
2/3/2021,120
2/7/2021,80
2/8/2021,250
2/9/2021,160
2/11/2021,220
2/12/2021,280
2/15/2021,130
2/16/2021,100
2/17/2021,100
2/18/2021,100
2/19/2021,120
2/22/2021,120
2/23/2021,120
2/24/2021,120
2/25/2021,90
3/2/2021,100
3/3/2021,130
3/5/2021,160
3/8/2021,250
3/11/2021,200
3/12/2021,280
3/15/2021,200
3/16/2021,220
3/17/2021,180
3/18/2021,180
3/19/2021,190
3/22/2021,170
3/23/2021,160
3/24/2021,180
3/25/2021,180
3/26/2021,180
3/29/2021,200
3/30/2021,200
3/31/2021,200
4/1/2021,80
4/3/2021,120
4/5/2021,150
4/8/2021,240
4/10/2021,200
4/19/2021,90
4/20/2021,80
4/21/2021,100
4/22/2021,80
4/23/2021,90
4/27/2021,200
4/28/2021,120
4/29/2021,120
4/30/2021,100
5/1/2021,70
5/2/2021,90
5/3/2021,120
5/4/2021,120
5/5/2021,130
5/7/2021,120
5/8/2021,250
5/10/2021,200
5/11/2021,260
5/13/2021,130
5/17/2021,140
5/18/2021,160
5/19/2021,300
5/20/2021,280
5/21/2021,250
6/1/2021,80
6/4/2021,120
6/5/2021,100
6/7/2021,130
6/8/2021,180
6/9/2021,130
6/10/2021,230
6/12/2021,300
6/18/2021,170
6/21/2021,280
6/22/2021,230
6/23/2021,230
6/25/2021,200
6/28/2021,190
6/29/2021,180
6/30/2021,120
7/1/2021,140
7/4/2021,80
7/5/2021,120
7/7/2021,140
7/10/2021,250
7/12/2021,380
7/13/2021,180
7/14/2021,200
7/15/2021,180
7/16/2021,220
7/19/2021,250
7/20/2021,250
7/22/2021,240
7/26/2021,250
7/27/2021,220
7/28/2021,220
7/29/2021,200
7/30/2021,250
8/1/2021,120
8/2/2021,100
8/3/2021,140
8/4/2021,80
8/6/2021,160
8/7/2021,130
8/10/2021,280
8/11/2021,200
8/12/2021,350
8/13/2021,180
8/16/2021,200
8/17/2021,200
8/18/2021,220
8/19/2021,200
8/20/2021,200
8/24/2021,180
8/25/2021,180
9/2/2021,120
9/3/2021,120
9/4/2021,100
9/6/2021,180
9/7/2021,130
9/8/2021,180
9/9/2021,100
9/11/2021,230
9/12/2021,300
9/13/2021,130
9/14/2021,70
9/15/2021,100
9/16/2021,90
9/17/2021,100
9/21/2021,80
9/22/2021,90
9/23/2021,100
9/24/2021,140
9/27/2021,210
9/28/2021,200
9/29/2021,200
9/30/2021,170
10/2/2021,120
10/3/2021,120
10/5/2021,90
10/9/2021,90
10/11/2021,250
10/12/2021,350
10/13/2021,80
10/14/2021,150
10/15/2021,160
10/18/2021,240
10/21/2021,160
10/22/2021,200
10/25/2021,170
10/26/2021,180
10/27/2021,170
10/28/2021,180
11/1/2021,80
11/2/2021,120
11/5/2021,100
11/8/2021,190
11/10/2021,280
11/11/2021,350
11/15/2021,450
11/16/2021,450
11/17/2021,450
11/19/2021,300
11/22/2021,250
11/23/2021,280
11/24/2021,220
11/25/2021,180
11/26/2021,200
11/29/2021,200
11/30/2021,400
12/1/2021,110
12/2/2021,100
12/3/2021,130
12/5/2021,130
12/7/2021,200
12/8/2021,200
12/10/2021,250
12/11/2021,300
12/13/2021,350
12/14/2021,350
12/15/2021,330
12/16/2021,320
12/17/2021,400
12/20/2021,400
12/21/2021,350
12/22/2021,350
12/23/2021,280
12/24/2021,350
12/27/2021,400
12/28/2021,340
12/29/2021,350
12/30/2021,380
12/31/2021,200
