Bean_Kandy_price,Kandy,Dambulla,Exchange Rate
290.0,140.0,115.0,363.18
,206.67,305.0,363.18
315.0,340.0,280.0,363.18
490.0,260.0,255.0,363.18
390.0,290.0,290.0,363.18
290.0,290.0,260.0,363.18
425.0,270.0,260.0,363.18
425.0,290.0,260.0,363.18
460.0,290.0,255.0,363.18
415.0,290.0,270.0,363.18
425.0,290.0,275.0,363.18
440.0,250.0,260.0,363.18
465.0,250.0,245.0,363.16
465.0,250.0,230.0,363.16
425.0,210.0,225.0,363.16
465.0,190.0,180.0,363.17
590.0,290.0,265.0,363.12
565.0,245.0,200.0,363.1
450.0,210.0,200.0,363.13
510.0,230.0,215.0,363.13
550.0,225.0,200.0,363.11
645.0,95.0,95.0,363.11
635.0,105.0,100.0,363.11
525.0,183.33,168.33,363.11
500.0,261.67,236.67,363.11
220.0,260.0,260.0,363.09
325.0,260.0,260.0,363.09
325.0,255.0,250.0,362.24
425.0,250.0,240.0,362.24
240.0,250.0,240.0,362.24
515.0,300.0,270.0,362.24
475.0,300.0,270.0,362.24
435.0,175.0,110.0,362.24
375.0,155.0,135.0,362.24
275.0,150.0,160.0,362.24
275.0,150.0,120.0,362.27
275.0,110.0,115.0,362.17
375.0,115.0,115.0,362.16
410.0,115.0,115.0,362.16
375.0,140.0,115.0,362.16
360.0,130.0,130.0,362.14
375.0,110.0,115.0,362.14
435.0,100.0,105.0,362.14
375.0,235.0,200.0,362.14
375.0,110.0,115.0,362.14
390.0,110.0,105.0,361.97
390.0,325.0,305.0,361.96
375.0,380.0,365.0,361.96
365.0,435.0,425.0,361.96
360.0,435.0,425.0,361.96
390.0,325.0,315.0,361.92
390.0,215.0,205.0,361.92
235.0,215.0,205.0,361.92
240.0,250.0,260.0,361.92
365.0,110.0,105.0,361.92
375.0,105.0,105.0,361.92
325.0,110.0,110.0,361.92
350.0,110.0,110.0,361.92
365.0,140.0,130.0,361.92
315.0,150.0,125.0,361.92
290.0,120.0,140.0,361.92
240.0,130.0,120.0,361.66
190.0,110.0,110.0,361.66
210.0,100.0,105.0,362.67
215.0,105.0,90.0,362.5
210.0,95.0,80.0,361.63
245.0,210.0,200.0,358.46
240.0,100.0,110.0,353.65
210.0,110.0,100.0,346.17
210.0,316.67,323.33,337.67
215.0,410.0,415.0,326.63
335.0,410.0,415.0,326.63
210.0,300.0,307.5,319.56
235.0,190.0,200.0,318.63
235.0,190.0,200.0,318.63
300.0,260.0,250.0,318.79
210.0,100.0,85.0,319.1
190.0,90.0,95.0,322.96
185.0,95.0,80.0,327.06
180.0,95.0,90.0,337.29
160.0,92.5,95.0,336.8
160.0,95.0,90.0,335.28
130.0,95.0,80.0,335.08
130.0,90.0,85.0,321.89
125.0,90.0,85.0,317.31
110.0,85.0,75.0,318.63
130.0,95.0,110.0,320.6
140.0,105.0,100.0,319.98
130.0,105.0,100.0,322.67
125.0,125.0,100.0,325.63
125.0,120.0,95.0,327.29
120.0,131.67,126.67,327.5
130.0,105.0,95.0,323.78
110.0,282.5,252.5,321.17
300.0,415.0,410.0,320.57
240.0,205.0,205.0,320.27
265.0,185.0,135.0,319.97
190.0,185.0,135.0,319.97
190.0,237.5,205.0,319.83
475.0,290.0,275.0,319.85
110.0,125.0,140.0,319.57
90.0,135.0,125.0,319.93
110.0,145.0,140.0,320.83
130.0,140.0,130.0,320.72
130.0,140.0,125.0,321.14
150.0,135.0,130.0,321.65
130.0,135.0,130.0,321.8
145.0,135.0,135.0,321.76
145.0,125.0,120.0,321.63
160.0,115.0,115.0,321.65
230.0,220.0,194.0,321.44
260.0,250.0,213.0,320.9
260.0,280.0,232.0,319.97
290.0,310.0,315.0,319.44
235.0,190.0,205.0,318.52
340.0,190.0,205.0,318.52
390.0,170.0,145.0,318.09
265.0,170.0,145.0,318.09
390.0,230.0,222.5,316.68
475.0,290.0,300.0,313.65
375.0,290.0,300.0,313.65
435.0,240.0,200.0,313.25
375.0,230.0,200.0,312.64
375.0,285.0,240.0,310.4
325.0,285.0,280.0,307.37
325.0,270.0,240.0,305.78
265.0,270.0,260.0,307.08
210.0,260.0,260.0,305.88
215.0,260.0,245.0,304.71
240.0,295.0,240.0,303.27
265.0,290.0,255.0,303.05
310.0,290.0,275.0,299.11
310.0,310.0,305.0,296.69
290.0,243.33,236.67,295.52
310.0,176.67,168.33,292.46
300.0,110.0,100.0,292.28
290.0,215.0,192.5,292.31
275.0,325.0,300.0,291.54
