Bean_Kandy_price,Kandy,Dambulla,Exchange Rate
125.0,125.0,105.0,191.04
138.3333333,128.33,103.33,191.61
151.6666667,131.67,101.67,192.18
165.0,135.0,100.0,192.74
195.0,135.0,115.0,193.65
215.0,160.0,150.0,194.8
225.0,135.0,135.0,194.8
215.0,145.0,105.0,196.42
206.6666667,141.67,110.0,196.55
198.3333333,138.33,115.0,196.68
190.0,135.0,120.0,196.8
225.0,125.0,142.5,196.15
210.0,145.0,190.0,195.86
207.5,170.0,197.5,195.13
205.0,195.0,205.0,194.39
187.5,185.0,191.25,193.26
170.0,175.0,177.5,192.12
152.5,165.0,163.75,190.98
135.0,155.0,150.0,192.57
115.0,155.0,135.0,194.0
117.5,147.5,135.0,194.21
120.0,140.0,135.0,194.41
122.5,132.5,135.0,194.19
125.0,125.0,135.0,193.96
215.0,95.0,135.0,193.74
145.0,85.0,80.0,194.36
157.5,120.0,125.0,194.31
170.0,155.0,170.0,194.5
230.0,230.0,200.0,194.62
205.0,195.0,176.67,194.41
180.0,160.0,153.33,194.19
155.0,125.0,130.0,193.97
135.0,145.0,135.0,193.97
135.0,125.0,135.0,194.96
135.0,135.0,120.0,194.85
135.0,135.0,130.0,194.85
135.0,131.67,125.0,194.84
135.0,128.33,120.0,194.83
135.0,125.0,115.0,194.83
125.0,105.0,115.0,194.21
110.0,115.0,115.0,194.06
115.0,135.0,125.0,194.01
115.0,135.0,131.0,194.01
115.0,135.0,137.0,194.01
115.0,135.0,143.0,194.01
115.0,135.0,149.0,194.01
115.0,135.0,155.0,194.5
125.0,175.0,140.0,195.63
117.5,155.0,136.0,195.27
110.0,135.0,132.0,195.36
145.0,125.0,128.0,195.41
180.0,115.0,124.0,195.45
215.0,105.0,120.0,195.5
201.6666667,121.67,131.67,195.5
188.3333333,138.33,143.33,195.99
175.0,155.0,155.0,196.26
255.0,225.0,235.0,196.53
233.3333333,195.0,210.0,196.37
211.6666667,165.0,185.0,196.2
190.0,135.0,160.0,196.04
175.0,135.0,135.0,196.78
190.0,125.0,130.0,198.49
175.0,125.0,140.0,197.45
175.0,125.0,125.0,199.28
175.0,128.33,125.0,198.68
175.0,131.67,125.0,198.07
175.0,135.0,125.0,197.47
155.0,125.0,130.0,197.77
165.0,125.0,120.0,198.95
155.0,115.0,115.0,198.0
155.0,125.0,125.0,198.44
161.6666667,125.0,125.0,198.35
168.3333333,125.0,125.0,198.26
175.0,125.0,125.0,198.17
175.0,125.0,115.0,199.44
155.0,125.0,115.0,199.04
95.0,110.0,100.0,199.22
110.0,142.5,127.5,199.26
125.0,175.0,155.0,199.3
110.0,150.0,147.0,199.34
95.0,125.0,139.0,199.38
138.3333333,115.0,131.0,199.75
181.6666667,105.0,123.0,199.0
225.0,95.0,115.0,200.02
217.5,95.0,102.5,199.87
210.0,95.0,90.0,199.89
193.8888889,99.44,96.11,199.9
177.7777778,103.89,102.22,199.91
161.6666667,108.33,108.33,199.94
145.5555556,112.78,114.44,199.97
129.4444444,117.22,120.56,200.0
113.3333333,121.67,126.67,199.93
97.22222222,126.11,132.78,198.11
81.11111111,130.56,138.89,196.28
65.0,135.0,145.0,194.45
55.0,125.0,115.0,191.97
65.0,135.0,115.0,191.88
85.0,145.0,130.0,192.0
115.0,135.0,135.0,191.94
110.0,135.0,128.75,193.33
105.0,135.0,122.5,194.72
100.0,135.0,116.25,196.11
95.0,135.0,110.0,197.5
115.0,135.0,103.75,197.5
95.0,135.0,97.5,199.75
125.0,125.0,91.25,199.54
85.0,105.0,85.0,199.44
125.0,135.0,150.0,199.33
135.0,165.0,160.0,199.23
165.0,135.0,100.0,199.69
85.0,110.0,120.0,199.59
115.0,110.0,127.5,199.59
145.0,110.0,135.0,199.52
190.0,105.0,85.0,199.51
200.0,95.0,85.0,199.51
210.0,85.0,85.0,199.51
210.0,195.0,165.0,199.58
172.5,160.0,145.0,199.57
135.0,125.0,125.0,199.5
132.5,125.0,128.75,199.5
130.0,125.0,132.5,199.5
127.5,125.0,136.25,199.5
125.0,125.0,140.0,199.5
125.0,125.0,150.0,199.79
125.0,125.0,152.5,199.67
210.0,135.0,150.0,199.66
210.0,145.0,160.0,199.9
198.6363636,141.36,154.09,199.82
187.2727273,137.73,148.18,199.74
175.9090909,134.09,142.27,199.67
164.5454545,130.45,136.36,199.51
153.1818182,126.82,130.45,199.52
141.8181818,123.18,124.55,199.54
130.4545455,119.55,118.64,199.56
119.0909091,115.91,112.73,199.54
107.7272727,112.27,106.82,199.52
96.36363636,108.64,100.91,199.5
85.0,105.0,95.0,199.5
91.66666667,111.67,91.67,199.5
98.33333333,118.33,88.33,199.53
105.0,125.0,85.0,199.69
85.0,105.0,110.0,199.69
105.0,110.0,103.75,199.69
125.0,115.0,97.5,199.69
210.0,115.0,100.0,199.7
130.0,90.0,80.0,199.82
210.0,85.0,85.0,199.68
250.0,172.5,162.5,199.76
290.0,260.0,240.0,199.8
273.3333333,239.17,220.83,199.85
256.6666667,218.33,201.67,199.89
240.0,197.5,182.5,199.5
223.3333333,176.67,163.33,199.72
206.6666667,155.83,144.17,199.86
190.0,135.0,125.0,199.83
218.3333333,138.33,128.33,199.84
246.6666667,141.67,131.67,199.86
275.0,145.0,135.0,199.87
260.0,145.0,145.0,199.91
230.0,145.0,152.5,199.89
207.5,155.0,148.75,199.88
185.0,165.0,145.0,199.87
178.3333333,155.0,142.5,199.87
171.6666667,145.0,140.0,199.88
165.0,135.0,137.5,199.89
165.0,135.0,135.0,199.9
145.0,125.0,130.0,201.14
85.0,95.0,97.5,200.78
88.33333333,105.0,96.67,200.52
91.66666667,115.0,95.83,200.32
95.0,125.0,95.0,200.11
75.0,95.0,110.0,199.91
100.0,102.5,110.0,199.9
125.0,110.0,110.0,199.9
158.3333333,101.67,105.0,199.9
191.6666667,93.33,100.0,199.9
225.0,85.0,95.0,199.9
257.5,180.0,182.5,199.9
290.0,275.0,270.0,199.91
205.0,110.0,105.0,199.9
205.0,110.0,100.0,199.9
200.0,95.0,95.0,199.9
200.0,105.0,100.0,199.9
203.3333333,101.67,98.33,199.9
206.6666667,98.33,96.67,199.9
210.0,95.0,95.0,199.89
235.0,105.0,100.0,199.9
250.0,105.0,100.0,199.9
265.0,105.0,100.0,199.9
260.0,110.0,103.75,199.91
255.0,115.0,107.5,199.92
250.0,120.0,111.25,199.92
245.0,125.0,115.0,199.93
215.0,115.0,130.0,199.91
235.0,135.0,135.0,199.9
225.0,125.0,140.0,199.9
210.0,105.0,120.0,199.9
162.5,115.0,110.0,199.9
115.0,125.0,100.0,199.9
145.0,165.0,150.0,199.9
135.0,125.0,125.0,199.9
85.0,125.0,105.0,199.9
107.5,130.0,120.0,199.9
130.0,135.0,135.0,199.9
135.0,110.0,100.0,199.9
171.6666667,105.0,101.67,199.9
208.3333333,100.0,103.33,199.91
245.0,95.0,105.0,199.9
230.0,185.0,185.0,199.92
290.0,280.0,265.0,199.92
210.0,95.0,110.0,199.92
205.0,95.0,105.0,199.94
200.0,95.0,100.0,199.96
195.0,95.0,95.0,199.98
220.0,85.0,75.0,199.92
185.0,85.0,95.0,199.9
190.0,85.0,105.0,199.9
190.0,85.0,85.0,199.9
181.25,86.25,91.25,199.9
172.5,87.5,97.5,199.9
163.75,88.75,103.75,199.9
155.0,90.0,110.0,199.9
170.0,110.0,100.0,199.9
166.875,113.12,103.12,199.95
163.75,116.25,106.25,200.0
160.625,119.38,109.38,200.87
