Date,rain_sum
1/3/2012,0
1/4/2012,2
1/5/2012,1.3
1/6/2012,2.5
1/7/2012,14.8
1/8/2012,8.6
1/9/2012,0.2
1/10/2012,0
1/11/2012,0
1/12/2012,0
1/13/2012,0
1/14/2012,0
1/15/2012,0
1/16/2012,0
1/17/2012,0
1/18/2012,0
1/19/2012,0
1/20/2012,0
1/21/2012,0
1/22/2012,1
1/23/2012,0
1/24/2012,0
1/25/2012,0
1/26/2012,0
1/27/2012,0
1/28/2012,0
1/29/2012,0
1/30/2012,0
1/31/2012,0
2/1/2012,0
2/2/2012,0.2
2/3/2012,0.5
2/4/2012,0.7
2/5/2012,2.7
2/6/2012,1.1
2/7/2012,7.8
2/8/2012,11.8
2/9/2012,16.7
2/10/2012,0.9
2/11/2012,0
2/12/2012,0
2/13/2012,0
2/14/2012,18.8
2/15/2012,19.7
2/16/2012,3.3
2/17/2012,1.3
2/18/2012,0
2/19/2012,0
2/20/2012,0
2/21/2012,0
2/22/2012,0
2/23/2012,0
2/24/2012,0
2/25/2012,0
2/26/2012,0.3
2/27/2012,13.6
2/28/2012,24.6
2/29/2012,3.2
3/1/2012,1
3/2/2012,0
3/3/2012,0
3/4/2012,0.8
3/5/2012,0.7
3/6/2012,0.4
3/7/2012,0
3/8/2012,0
3/9/2012,0
3/10/2012,0.8
3/11/2012,0
3/12/2012,0.8
3/13/2012,4.8
3/14/2012,6.5
3/15/2012,11.5
3/16/2012,11.5
3/17/2012,0.5
3/18/2012,0
3/19/2012,0
3/20/2012,0
3/21/2012,0.2
3/22/2012,0
3/23/2012,0.8
3/24/2012,0.4
3/25/2012,0
3/26/2012,1.1
3/27/2012,6.6
3/28/2012,17.9
3/29/2012,5.8
3/30/2012,1.4
3/31/2012,0.4
4/1/2012,0.3
4/2/2012,3.8
4/3/2012,9.7
4/4/2012,11.7
4/5/2012,2.2
4/6/2012,4
4/7/2012,4.2
4/8/2012,13.7
4/9/2012,8.3
4/10/2012,5.8
4/11/2012,8.7
4/12/2012,2.9
4/13/2012,7.1
4/14/2012,9
