Date,Item,Peliyagoda,Kandy,Dambulla,Meegoda,Norochchole,Thambuththegama,Keppetipola,Nuwaraeliya,Bandarawela,Veyangoda
2020-06-29,Leeks,80.00--100.00,70.00--80.00,60.00-90.00,100.00-110.00,,90.00-100.00,80.00-85.00,90.00-95.00,,
2020-06-30,Leeks,70.00--80.00,70.00--80.00,60.00-80.00,100.00-110.00,,85.00-100.00,75.00-80.00,85.00-90.00,,
2020-07-01,Leeks,250.00--280.00,310.00--320.00,250.00--300.00,280.00--320.00,,290.00--310.00,,240.00-250.00,,
2020-07-07,Leeks,60.00--70.00,60.00--70.00,45.00--60.00,90.00--100.00,,80.00--90.00,65.00-70.00,60.00-70.00,,
2020-07-08,Leeks,50.00--60.00,90.00--100.00,80.00--90.00,70.00--80.00,,70.00--80.00,60.00-65.00,40.00-50.00,,
2020-07-09,Leeks,40.00--50.00,50.00--60.00,45.00--60.00,55.00--65.00,,45.00--55.00,,40.00-45.00,,
2020-07-10,Leeks,50.00--60.00,50.00--60.00,50.00--65.00,60.00--70.00,,60.00--65.00,,50.00-55.00,,
2020-07-12,Leeks,,40.00--50.00,25.00--35.00,60.00--70.00,,50.00--60.00,44.00-48.00,45.00-55.00,,
2020-07-13,Leeks,50.00--60.00,50.00--60.00,45.00--60.00,70.00--80.00,,70.00--80.00,45.00-50.00,45.00-50.00,,
2020-07-14,Leeks,50.00--60.00,50.00--60.00,40.00--60.00,70.00--80.00,,55.00--65.00,45.00-50.00,40.00-50.00,,
2020-07-15,Leeks,40.00--60.00,50.00--60.00,35.00--55.00,65.00--70.00,,45.00--55.00,40.00-50.00,40.00-50.00,,
2020-07-16,Leeks,50.00--60.00,50.00--60.00,40.00--55.00,70.00--75.00,,50.00--65.00,40.00-50.00,50.00-55.00,,
2020-07-17,Leeks,40.00--60.00,60.00--70.00,35.00--50.00,70.00--75.00,,50.00--60.00,40.00-50.00,50.00-55.00,,
2020-07-20,Leeks,40.00--60.00,40.00--50.00,45.00--60.00,60.00--70.00,,50.00--60.00,45.00-50.00,40.00-50.00,,
2020-07-21,Leeks,30.00--50.00,50.00--60.00,30.00--50.00,60.00--70.00,,50.00--60.00,45.00-48.00,40.00-50.00,,
2020-07-22,Leeks,40.00--50.00,40.00--50.00,35.00--50.00,60.00--65.00,,50.00--60.00,43.00-45.00,40.00-50.00,,
2020-07-23,Leeks,40.00--50.00,40.00--50.00,45.00--55.00,60.00--70.00,,50.00--60.00,43.00-45.00,40.00-50.00,,
