Date,Kandy_Beans,Dambulla_Beans,Exchange Rate_Beans,Kandy_Carrot,Dambulla_Carrot,Exchange Rate_Carrot,Kandy_Leaks,Dambulla_Leaks,Buy Rate_Leaks
2023-07-10,410.0,400.0,311.51,215.0,220.0,311.51,87.5,87.5,304.02
2023-07-11,300.0,275.0,312.79,240.0,225.0,312.79,100.0,95.0,305.13
2023-07-12,390.0,325.0,313.9,310.0,260.0,313.9,245.0,210.0,306.15
2023-07-13,340.0,350.0,314.59,310.0,315.0,314.59,155.0,130.0,308.16
2023-07-14,325.0,375.0,316.36,310.0,365.0,316.36,145.0,165.0,310.49
2023-07-15,325.0,375.0,317.28,343.33,368.33,317.28,145.0,163.33,311.43
2023-07-16,325.0,375.0,318.2,376.67,371.67,318.2,145.0,161.67,312.36
2023-07-17,325.0,375.0,319.12,410.0,375.0,319.12,145.0,160.0,313.29
2023-07-18,325.0,370.0,322.81,400.0,385.0,322.81,145.0,135.0,314.96
2023-07-19,285.0,325.0,322.53,395.0,410.0,322.53,145.0,140.0,315.26
2023-07-20,285.0,275.0,324.25,410.0,420.0,324.25,145.0,125.0,316.31
2023-07-21,275.0,325.0,325.22,390.0,415.0,325.22,135.0,120.0,318.73
2023-07-22,305.0,325.0,325.73,403.33,418.33,325.73,128.33,125.0,319.52
2023-07-23,335.0,325.0,326.24,416.67,421.67,326.24,121.67,130.0,320.31
2023-07-24,365.0,325.0,326.75,430.0,425.0,326.75,115.0,135.0,321.1
2023-07-25,365.0,355.0,329.0,455.0,425.0,329.0,115.0,130.0,323.04
2023-07-26,325.0,330.0,329.42,435.0,425.0,329.42,115.0,135.0,323.7
2023-07-27,335.0,325.0,329.38,430.0,405.0,329.38,120.0,125.0,322.85
2023-07-28,335.0,335.0,329.28,435.0,375.0,329.28,120.0,110.0,322.67
2023-07-29,330.91,334.09,329.31,371.0,324.0,329.31,134.0,128.0,322.77
2023-07-30,326.82,333.18,329.33,307.0,273.0,329.33,148.0,146.0,322.86
2023-07-31,322.73,332.27,329.36,243.0,222.0,329.36,162.0,164.0,322.96
2023-08-01,318.64,331.36,327.0,179.0,171.0,327.0,176.0,182.0,316.33
2023-08-02,314.55,330.45,324.65,115.0,120.0,324.65,190.0,200.0,309.71
2023-08-03,310.45,329.55,314.1,115.0,110.0,314.1,175.0,160.0,308.61
2023-08-04,306.36,328.64,318.44,122.5,122.5,318.44,190.0,187.5,312.56
2023-08-05,302.27,327.73,318.44,130.0,135.0,318.44,193.33,179.17,313.39
2023-08-06,298.18,326.82,318.44,285.0,300.0,318.44,196.67,170.83,314.22
2023-08-07,294.09,325.91,318.44,337.5,362.5,318.44,200.0,162.5,315.06
2023-08-08,290.0,325.0,321.5,390.0,425.0,321.5,150.0,115.0,315.11
2023-08-09,265.0,275.0,321.08,190.0,215.0,321.08,65.0,75.0,314.95
2023-08-10,320.0,295.0,320.26,215.0,215.0,320.26,87.5,82.5,313.61
2023-08-11,375.0,315.0,320.0,240.0,215.0,320.0,110.0,90.0,313.78
2023-08-12,525.0,375.0,319.99,310.0,305.0,319.99,115.0,96.67,313.85
2023-08-13,440.0,375.0,319.99,340.0,340.0,319.99,120.0,103.33,313.92
2023-08-14,355.0,375.0,319.98,370.0,375.0,319.98,125.0,110.0,313.99
2023-08-15,335.0,365.0,320.94,370.0,390.0,320.94,125.0,110.0,314.72
